Target Distance: 50, Step Size: 2
0: (x,y) = (-0.618034, 1.90211)
1: (x,y) = (1.3625, 2.18046)
2: (x,y) = (3.11174, 3.15008)
3: (x,y) = (4.66603, 1.89144)
4: (x,y) = (2.78665, 2.57548)
5: (x,y) = (3.69463, 4.35749)
6: (x,y) = (1.70559, 4.56655)
7: (x,y) = (0.98885, 2.69939)
8: (x,y) = (-0.943002, 2.18175)
9: (x,y) = (-0.943002, 0.181749)
10: (x,y) = (0.633019, -1.04957)
11: (x,y) = (-1.26909, -1.66761)
12: (x,y) = (-3.26635, -1.77228)
13: (x,y) = (-5.06394, -0.895538)
14: (x,y) = (-5.06394, -2.89554)
15: (x,y) = (-5.23825, -4.88793)
16: (x,y) = (-3.23856, -4.92283)
17: (x,y) = (-1.45654, -4.01485)
18: (x,y) = (-1.56122, -6.01211)
19: (x,y) = (-0.747742, -7.8392)
20: (x,y) = (0.564376, -6.32978)
21: (x,y) = (1.08201, -4.39793)
22: (x,y) = (2.75935, -3.30865)
23: (x,y) = (4.29144, -2.02308)
24: (x,y) = (2.55939, -1.02308)
25: (x,y) = (3.58947, -2.73741)
26: (x,y) = (2.17526, -1.3232)
27: (x,y) = (0.190163, -1.56694)
28: (x,y) = (-1.57573, -0.627993)
29: (x,y) = (-0.79427, 1.21302)
30: (x,y) = (1.01835, 2.05825)
31: (x,y) = (1.08814, 4.05703)
32: (x,y) = (0.638243, 2.10829)
33: (x,y) = (0.463931, 4.10068)
34: (x,y) = (2.46119, 4.20536)
35: (x,y) = (1.31404, 2.56705)
36: (x,y) = (-0.565348, 1.88301)
37: (x,y) = (-1.79667, 0.30699)
38: (x,y) = (-1.34677, -1.64175)
39: (x,y) = (-2.12823, -3.48276)
40: (x,y) = (-4.06008, -2.96512)
41: (x,y) = (-5.20724, -1.32682)
42: (x,y) = (-6.17685, -3.07606)
43: (x,y) = (-4.42762, -4.04568)
44: (x,y) = (-2.47132, -4.4615)
45: (x,y) = (-4.08935, -5.63707)
46: (x,y) = (-3.81101, -3.65653)
47: (x,y) = (-2.27892, -2.37096)
48: (x,y) = (-2.79656, -0.439107)
49: (x,y) = (-4.45463, -1.55749)
50: (x,y) = (-4.69837, 0.427599)
51: (x,y) = (-4.48931, 2.41664)
52: (x,y) = (-3.1, 0.977963)
53: (x,y) = (-5.05629, 0.56214)
54: (x,y) = (-7.04868, 0.387829)
55: (x,y) = (-5.19431, -0.361385)
56: (x,y) = (-3.61829, 0.869938)
57: (x,y) = (-1.62316, 1.00945)
58: (x,y) = (-0.233848, 2.44813)
59: (x,y) = (-2.01586, 3.35611)
60: (x,y) = (-2.39748, 5.31937)
61: (x,y) = (-1.00816, 6.75805)
62: (x,y) = (-1.04307, 4.75835)
63: (x,y) = (-1.6611, 6.66046)
64: (x,y) = (-3.56321, 7.2785)
65: (x,y) = (-4.6816, 8.93657)
66: (x,y) = (-4.26578, 6.98028)
67: (x,y) = (-5.35505, 8.65762)
68: (x,y) = (-6.41489, 6.96152)
69: (x,y) = (-8.36363, 6.51162)
70: (x,y) = (-9.36363, 8.24367)
71: (x,y) = (-9.15458, 10.2327)
72: (x,y) = (-10.9817, 11.0462)
73: (x,y) = (-10.9817, 13.0462)
74: (x,y) = (-9.01205, 13.3935)
75: (x,y) = (-10.0719, 15.0896)
76: (x,y) = (-8.10227, 15.4369)
77: (x,y) = (-7.013, 17.1142)
78: (x,y) = (-8.93552, 16.5629)
79: (x,y) = (-8.28438, 18.454)
80: (x,y) = (-8.73429, 20.4027)
81: (x,y) = (-10.4835, 21.3723)
82: (x,y) = (-9.45345, 23.0867)
83: (x,y) = (-11.2945, 23.8681)
84: (x,y) = (-13.0765, 22.9602)
85: (x,y) = (-12.6266, 21.0114)
86: (x,y) = (-12.4871, 19.0163)
87: (x,y) = (-13.3005, 20.8434)
88: (x,y) = (-11.4095, 20.1922)
89: (x,y) = (-10.3794, 18.4779)
90: (x,y) = (-8.9901, 19.9166)
91: (x,y) = (-10.9825, 20.0909)
92: (x,y) = (-12.9579, 20.4038)
93: (x,y) = (-13.3052, 18.4342)
94: (x,y) = (-11.5393, 19.3731)
95: (x,y) = (-13.4414, 19.9911)
